study,subject_nr,amount_pair,delay_pair,amount_similarity,delay_similarity,itc_control_choice,itc_amount_social_info,itc_delay_social_info,amount_delay_social_info,itc_social_choice,miss_score,median_miss_score,suggestibility_level,sns_score,sns_level,overall_bnt_score,age,ethnicity,gender,control_social,amount_delay,similarity_judgment,task_social_info,social_info
1,101,19_24,11_18,0,0,1,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,29_35,25_30,0,1,1,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,17_24,7_12,0,1,1,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,18_24,7_12,0,1,1,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,11_17,4_8,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,22_27,41_48,0,0,0,1,1,S_S,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,10_15,23_30,0,0,0,1,1,S_S,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,25_30,35_41,0,1,0,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,22_27,41_47,0,1,1,0,0,D_D,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,7_12,47_54,0,0,1,0,1,D_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,13_18,30_36,0,1,1,0,0,D_D,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,19_24,12_19,0,1,1,0,1,D_S,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,6_13,10_15,0,1,1,1,1,S_S,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,10_15,23_29,0,1,0,1,0,S_D,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,7_12,48_54,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,12_18,4_8,0,1,1,0,1,D_S,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,36_42,16_21,0,1,1,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,19_24,11_17,0,1,1,1,0,S_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,18_25,7_12,0,1,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,25_30,35_42,0,0,1,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,16_21,5_11,0,1,0,1,0,S_D,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,22_27,42_49,0,0,0,1,0,S_D,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,4_8,18_24,0,1,0,0,0,D_D,1,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,101,23_30,13_18,0,1,1,1,0,S_D,0,41,50,Low,4.875,High,0.25,20,White,male,NA,NA,NA,NA,NA
1,104,13_18,29_35,1,1,1,0,1,D_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,11_17,4_8,1,1,0,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,22_27,42_48,1,1,0,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,6_13,10_15,0,1,1,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,42_48,19_24,1,1,1,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,16_21,5_11,1,0,0,1,0,S_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,17_24,7_12,0,1,1,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,12_19,4_8,0,1,0,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,25_30,36_42,0,1,0,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,35_42,16_21,0,1,0,0,1,D_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,18_24,7_12,1,1,1,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,35_41,16_21,0,1,0,1,1,S_S,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,41_47,19_24,1,1,0,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,36_42,16_21,0,1,0,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,41_48,19_24,0,1,0,1,1,S_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,10_15,23_29,0,1,0,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,13_18,29_36,1,0,1,1,1,S_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,6_12,10_15,0,1,1,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,36_43,16_21,1,1,1,0,0,D_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,30_37,25_30,1,1,1,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,19_24,12_19,1,1,0,0,1,D_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,7_12,48_55,1,1,1,1,1,S_S,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,4_8,18_24,1,0,1,0,0,D_D,1,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
1,104,22_27,42_49,1,1,1,1,0,S_D,0,49,50,Low,3.75,Low,0,21,White,female,NA,NA,NA,NA,NA
